Date,Jump around on waking up,Meditate,Write 750 words,Pushup(s),Exercise,Floss,Socialize with friends,Sleep by Midnight,Sleep at least 7 hours,Send a postcard,Call mom/dad,Stretch in the morning,Work on podcast,*All daily habits,Daily debrief,Situps,Put clothes away
2012-11-05,1,1,1,1, ,1,1,1,1, ,1, ,1,1,1,1, 
2012-11-06,1,1,1,1,1,1, ,1, , ,1, , ,1,1,1, 
2012-11-07,1,1,1,1, ,1,1,1,1,1,1, , ,1,1,1,1
2012-11-08,1,1,1,1,1,1,1, , , , , , ,1,1,1,1
2012-11-09,1,1,1,1, ,1,1,1, , ,1, , ,1,1,1,1
2012-11-10,1,1,1,1,1,1,1, ,1, ,1, , , , ,1, 
2012-11-11,1,1,1,1,1,1,1,1,1,1,1, , ,1,1,1,1
2012-11-12,1,1,1,1,1,1,1,1,1, ,1, ,1,1,1,1,1
2012-11-13,1,1,1,1,1,1,1,1,1, ,1, ,1,1,1,1,1
2012-11-14,1,1,1,1, ,1,1,1,1, ,1, ,1,1,1, ,1
2012-11-15,1,1,1,1,1,1,1,1,1, ,1, ,1,1,1,1,1
2012-11-16,1,1,1,1, ,1,1,1,1, , , , ,1,1,1,1
2012-11-17,1,1,1,1, ,1,1,1,1, ,1, , ,1,1,1,1
2012-11-18,1,1,1,1,1,1,1,1,1,1, , , ,1,1, ,1
2012-11-19,1,1,1,1, ,1,1,1,1,1,1, , ,1,1,1,1
2012-11-20,1,1,1,1,1,1,1,1, , ,1, , ,1,1,1,1
2012-11-21,1,1,1,1,1,1,1, ,1, ,1, , ,1, ,1,1
2012-11-22,1,1,1,1,1,1,1,1, , ,1, , ,1,1,1,1
2012-11-23,1,1,1,1, ,1, ,1, , ,1, , ,1,1,1,1
2012-11-24,1,1,1,1,1,1, ,1,1, ,1, , ,1,1,1, 
2012-11-25, ,1,1,1, ,1, , ,1, ,1, , , ,1,1, 
2012-11-26,1,1,1,1, ,1,1, ,1, ,1, ,1, ,1,1,1
2012-11-27,1,1,1,1, ,1,1,1,1, ,1, , ,1,1,1,1
2012-11-28,1,1,1,1, ,1,1,1,1, ,1, , ,1,1,1,1
2012-11-29,1,1,1,1, ,1,1,1,1, , , , ,1,1,1,1
2012-11-30,1,1,1,1, ,1,1, ,1, ,1, , , ,1,1,1
2012-12-01,1,1,1,1, ,1,1,1,1, ,1, , ,1,1,1, 
2012-12-02,1,1,1,1,1,1,1,1,1, , , ,1,1,1,1,1
2012-12-03,1,1,1,1, ,1,1,1,1, ,1, ,1,1,1,1, 
2012-12-04,1,1,1,1, ,1,1,1,1, , , ,1, ,1, ,1
2012-12-05,1,1,1,1, ,1,1, ,1,1, , , , ,1,1, 
2012-12-06,1,1,1,1,1,1, ,1,1,1,1, , ,1,1,1,1
2012-12-07,1,1,1,1, ,1,1, ,1, ,1, , , ,1, , 
2012-12-08,1,1,1,1,1,1,1, ,1, , , , , , , ,1
2012-12-09,1,1,1,1,1,1,1, ,1, , , ,1, ,1, ,1
2012-12-10,1,1,1,1, ,1,1,1,1, , , ,1, ,1, ,1
2012-12-11,1,1,1,1, ,1,1,1,1,1,1, ,1, ,1,1,1
2012-12-12,1,1,1,1,1,1,1, ,1, , , ,1, ,1,1,1
2012-12-13,1,1,1,1, ,1,1,1, ,1,1, , , ,1,1,1
2012-12-14,1,1,1,1, ,1,1, , , , , , , ,1, ,1
2012-12-15,1,1,1,1, ,1,1, , , ,1, , , ,1, ,1
2012-12-16,1,1,1,1, ,1,1, ,1, , , , , ,1, ,1
2012-12-17,1,1,1,1, ,1,1, ,1, ,1, ,1, ,1, ,1
2012-12-18,1,1,1,1,1,1, ,1,1, , , ,1, ,1, ,1
2012-12-19,1,1,1,1,1,1,1, ,1, ,1, , , ,1, ,1
2012-12-20,1,1,1,1, ,1, , ,1, , , , , ,1, , 
2012-12-21,1,1,1,1, ,1, ,1, , ,1, , , ,1, , 
2012-12-22,1,1,1,1, ,1, , ,1, ,1, , , ,1, , 
2012-12-23, ,1,1,1, ,1,1, ,1, ,1, , , ,1, , 
2012-12-24,1,1,1,1, ,1,1,1,1, ,1, , , ,1, , 
2012-12-25,1,1,1,1, ,1,1,1, , ,1, , , ,1, , 
2012-12-26,1,1,1,1, ,1,1,1, , ,1, , , ,1, , 
2012-12-27,1,1,1,1, ,1, ,1, , ,1, , , ,1, , 
2012-12-28,1,1,1,1, ,1, ,1, , ,1, , , ,1, , 
2012-12-29,1, , , , , , , , , ,1, , , ,1, , 
2012-12-30, ,1,1,1, ,1,1, , , , , , , , , , 
2012-12-31,1,1,1,1, ,1,1, , , ,1, , , , , , 
